real_name,id,description,image,location,color,scientific_name,order,family,general_name,habitat,food,nesting,behavior,conservation,aab_description
American Woodcock,amewoo,"Plump, camouflaged shorebird that favors wooded or shrubby areas often next to fields. Rarely seen well in daytime. Generally gray above with darker stripes running down back, pale-orange belly, and dark markings on head. Exceptionally long bill, ideal for pulling up worms. Well-known for elaborate courtship display performed at dawn and dusk in spring.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64829511/900,NA,Brown,Scolopax minor,Charadriiformes,Scolopacidae,Shorebirds,Forests,Insects,Ground,Probing,Declining,"Superbly camouflaged against the leaf litter, the brown-mottled American Woodcock walks slowly along the forest floor, probing the soil with its long bill in search of earthworms. Unlike its coastal relatives, this plump little shorebird lives in young forests and shrubby old fields across eastern North America. Its cryptic plumage and low-profile behavior make it hard to find except in the springtime at dawn or dusk, when the males show off for females by giving loud, nasal peent calls and performing dazzling aerial displays."
American Tree Sparrow,amtspa,"Hardy northern sparrow with plump body, small bill and long, thin tail. Note rusty cap and rusty (not black) eyeline, gray head and unstreaked grayish breast with dark smudge in center. Small flocks hop on ground, foraging for seeds, giving a soft, musical twitter. In winter, look for them in weedy fields with shrubs, forest edges, and marshes. Readily visit backyards. Rarely seen south of northern Canada in summer.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64971291/900,NA,Brown,Spizelloides arborea,Passeriformes,Passerellidae,Sparrows,Open Woodlands,Seeds,Ground,Ground Forager,Common Bird in Steep Decline,"Plump and long-tailed, American Tree Sparrows are busy visitors in winter backyards and weedy, snow-covered fields across southern Canada and the northern United States. Hopping up at bent weeds or even beating their wings to dislodge seeds from grass heads, they scratch and peck the ground in small flocks, trading soft, musical twitters. Come snowmelt, these small rusty-capped and smooth-breasted sparrows begin their long migrations to breeding grounds in the tundra of the far North."
Anna's Hummingbird,annhum,"Relatively large-headed and chunky. Gray and green overall, lacking rufous, buff, or orange. Males have shocking magenta head, which appears dark when not catching the light. Found in fairly open areas, including woodlands, desert scrub, and chaparral. The only hummingbird that regularly winters in northern California, Oregon, and Washington. Listen for male's scratchy, metallic song, given when perched.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66120941/900,NA,Green,Calypte anna,Caprimulgiformes,Trochilidae,Hummingbirds,Open Woodlands,Nectar,Tree,Hovering,Low Concern,"Anna’s Hummingbirds are among the most common hummingbirds along the Pacific Coast, yet they're anything but common in appearance. With their iridescent emerald feathers and sparkling rose-pink throats, they are more like flying jewelry than birds. Though no larger than a ping-pong ball and no heavier than a nickel, Anna’s Hummingbirds make a strong impression. In their thrilling courtship displays, males climb up to 130 feet into the air and then swoop to the ground with a curious burst of noise that they produce through their tail feathers."
Ash-throated Flycatcher,astfly,"Fairly large flycatcher, larger than a phoebe but smaller than a robin. Generally found in arid habitats with tall shrubs. Note the rather long, slender shape and often peaked crown. Plumage looks washed out; whitish throat, very pale yellow belly, and dull brown on top. Also look for rufous in the tail and wings. Distinguish from similar Great Crested Flycatcher by range, drab plumage, and voice.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65682561/900,NA,Brown,Myiarchus cinerascens,Passeriformes,Tyrannidae,Flycatchers,Open Woodlands,Insects,Cavity,Flycatching,Low Concern,"With its pale lemon belly and cinnamon tail, the Ash-throated Flycatcher is reminiscent of a desert just before sunset. Its subtle hues help it blend into its surroundings, but notes sputter out of its mouth all morning long, giving away its location. This genteel flycatcher tips its head side to side with seeming curiosity while perched among low oaks and mesquite trees. It is a die-hard bird of dry places that doesn't need to drink water; it gets all it needs from the insects and spiders it eats."
Baird's Sandpiper,baisan,"Long-winged, long-distance migrant similar to White-rumped Sandpiper but with warmer buffy-tan plumage. Elongated body gives a horizontal impression when foraging; unique flattened oval shape when seen head-on. Black bill and brown rump. Breeding adults rather pale with large black spots on back. Crisp juveniles show neat scaly pattern on wings and back and have a warm buffy face and neck. Often with flocks of other small shorebirds, but prefers drier habitats, such as the grassy edge of a mudflat, seaweed-covered upper portion of a beach, or sod field. Breeds in the Arctic tundra; winters in South America.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/39434211/900,"NA,SA,EU",Brown,Calidris bairdii,Charadriiformes,Scolopacidae,Sandpipers,Shorelines,Aquatic Invertebrates,Ground,Probing,Low Concern,"Baird's Sandpiper’s long, tapering wings, an adaptation for its very long migrations, make it perhaps the most elegant of the “peeps,” the small sandpipers in the genus Calidris. Their delicate buff and brown tones are warmer than the grayish brown of many other sandpipers, lending a softness to their plumage that makes them among the most recognizable species of the group. Baird’s Sandpipers are often nicknamed “grasspipers” because of their tendency to forage in drier, more vegetated habitats than many shorebirds."
Bald Eagle,baleag,"Majestic adults have blackish-brown body with white head and tail. Several stages of immature plumages aren't quite as majestic, from fully dark brown to messy and mottled with large patches of white. Look especially for white mottling on the belly on immatures. Scavenges and hunts near bodies of water. Soars with wings flat, like a large, dark plank. Head appears large in flight; projects far in front of wings. Surprisingly weak-sounding vocalization is a series of high-pitched whistles.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60329071/900,NA,Black,Haliaeetus leucocephalus,Accipitriformes,Accipitridae,Eagles,Forests,Fish,Tree,Soaring,Low Concern,"The Bald Eagle has been the national emblem of the United States since 1782 and a spiritual symbol for native people for far longer than that. These regal birds aren’t really bald, but their white-feathered heads gleam in contrast to their chocolate-brown body and wings. Look for them soaring in solitude, chasing other birds for their food, or gathering by the hundreds in winter. Once endangered by hunting and pesticides, Bald Eagles have flourished under protection."
Baltimore Oriole,balori,"Males are stunning, orange with black head. Females vary from yellowish to bright orange below with grayish head. Blue-gray bill is sharply pointed. Often found high in deciduous trees in open woodlands, forest edges, orchards, riversides, parks, and backyards. Rich, whistling song, echoes from treetops. Phrases vary, but rich quality of whistled notes is always the same. Visits feeders with nectar and fruits. Sometimes hybridizes with Bullock's Oriole.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/171534931/900,NA,Orange,Icterus galbula,Passeriformes,Icteridae,Orioles,Forests,Insects,Tree,Foliage Gleaner,Low Concern,"The rich, whistling song of the Baltimore Oriole, echoing from treetops near homes and parks, is a sweet herald of spring in eastern North America. Look way up to find these singers: the male’s brilliant orange plumage blazes from high branches like a torch. Nearby, you might spot the female weaving her remarkable hanging nest from slender fibers. Fond of fruit and nectar as well as insects, Baltimore Orioles are easily lured to backyard feeders."
Bank Swallow,banswa,"Small, compact swallow that is brown above and white below. Note white throat, sharply contrasting brown chest band, notched tail and more angular, pointy wings. Colonial nester; builds nest by tunneling into sandbank. Forages for insects over fields, marshes, and ponds.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68123441/900,"NA,EU,SA,AS,AF",Brown,Riparia riparia,Passeriformes,Hirundinidae,Swallows,Lakes and Ponds,Insects,Burrow,Aerial Forager,Common Bird in Steep Decline,"The svelte and speedy little Bank Swallow zips through the air with quick twists and buzzy wingbeats. Look for them in chattering nesting colonies dug into the sides of sandy cliffs or banks, or pick them out of mixed swallow flocks as they catch insects over the water. These birds occur on all the continents except Australia and Antarctica—but in North America their numbers have mysteriously plummeted since 1970, and they are recognized as a Common Bird in Steep Decline."
Barn Swallow,barswa,"Recognizable even at a distance by its extremely long forked tail and dark rump. Spends a lot of time in flight, zipping over fields and ponds in search of insects. Appears dark above (iridescent navy blue in good light) and lighter below; belly color varies considerably across its extremely wide distribution, ranging from white to orange. Typically nests near people, in barns or under docks and other structures.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68123101/900,"NA,EU,SA,AS,AF",Blue,Hirundo rustica,Passeriformes,Hirundinidae,Swallows,Grasslands,Insects,Building,Aerial Forager,Low Concern,"Glistening cobalt blue above and tawny below, Barn Swallows dart gracefully over fields, barnyards, and open water in search of flying insect prey. Look for the long, deeply forked tail that streams out behind this agile flyer and sets it apart from all other North American swallows. Barn Swallows often cruise low, flying just a few inches above the ground or water. True to their name, they build their cup-shaped mud nests almost exclusively on human-made structures."
Black-and-white Warbler,bawwar,"Distinctive warbler with diagnostic black-and-white stripes over entire body. Creeps along branches like a nuthatch, searching for insects. Favors areas with large, deciduous trees. Breeding male Blackpoll Warbler is potentially confusing, but note different behavior and face pattern.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63666541/900,NA,Black,Mniotilta varia,Passeriformes,Parulidae,Warblers,Forests,Insects,Ground,Bark Forager,Low Concern,"One of the earliest-arriving migrant warblers, the Black-and-white Warbler’s thin, squeaky song is one of the first signs that spring birding has sprung. This crisply striped bundle of black and white feathers creeps along tree trunks and branches like a nimble nuthatch, probing the bark for insects with its slightly downcurved bill. Though you typically see these birds only in trees, they build their little cup-shaped nests in the leaf litter of forests across central and eastern North America."
Belted Kingfisher,belkin1,"Stocky and large-headed with a shaggy crest. Bill is long, straight, thick, and pointed. Powder blue above with white underparts and blue breast band. Females have additional rusty band across belly. Almost always solitary, perched along edges of streams, lakes, and estuaries. Flies along rivers and shorelines giving loud rattling calls. Hunts for fish by plunging headfirst into the water, either directly from a perch or hovering.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65764731/900,NA,Blue,Megaceryle alcyon,Coraciiformes,Alcedinidae,Kingfishers,Lakes and Ponds,Fish,Burrow,Aerial Dive,Low Concern,"With its top-heavy physique, energetic flight, and piercing rattle, the Belted Kingfisher seems to have an air of self-importance as it patrols up and down rivers and shorelines. It nests in burrows along earthen banks and feeds almost entirely on aquatic prey, diving to catch fish and crayfish with its heavy, straight bill. These ragged-crested birds are a powdery blue-gray; males have one blue band across the white breast, while females have a blue and a chestnut band."
Bell's Sparrow,belspa2,"Brown sparrow with gray head; very similar to Sagebrush Sparrow and once considered the same species. Darker than Sagebrush Sparrow with slightly different face pattern. Look for relatively dark gray head with white eyering, white spot in front of eye, and white mustache bordered by broad black stripe. Flanks brownish with diffuse streaking; belly and breast white. Found in shrubby expanses of sagebrush. Perches conspicuously when singing; otherwise stays low and hidden. Tail often cocked up. In winter,  found with Sagebrush Sparrow. Song is a jumble of mechanical, musical notes, faster than Sagebrush Sparrow.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/171505231/900,NA,Gray,Artemisiospiza belli,Passeriformes,Passerellidae,Sparrows,Scrub,Insects,Shrub,Ground Forager,Low Concern,"The Bell’s Sparrow is a neat, gray-headed sparrow emblematic of California’s coastal sage and chaparral. They also occur in Baja California, the Mojave Desert, and on San Clemente Island, California (a federally threatened subspecies). Like the very similar Sagebrush Sparrow, these birds spend much of their time foraging for insects and seeds on the ground underneath shrubs. In spring males sing a fast mix of trills and chips from the tallest perches they can find."
Bewick's Wren,bewwre,"Long-tailed, rather slender wren. Dark brown above and pale grayish below with whitish eyebrow. Slender bill is slightly decurved. Favors dry scrubby areas, thickets in open country, and open woodlands near rivers and streams. Also at home in gardens, residential areas, and parks in cities and suburbs. Song is variable, but usually includes high-pitched buzzes and musical trills.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68034931/900,NA,Brown,Thryomanes bewickii,Passeriformes,Troglodytidae,Wrens,Open Woodlands,Insects,Cavity,Foliage Gleaner,Low Concern,"If you come across a noisy, hyperactive little bird with bold white eyebrows, flicking its long tail as it hops from branch to branch, you may have spotted a Bewick’s Wren. These master vocalists belt out a string of short whistles, warbles, burrs, and trills to attract mates and defend their territory, or scold visitors with raspy calls. Bewick’s Wrens are still fairly common in much of western North America, but they have virtually disappeared from the East."
Black-billed Cuckoo,bkbcuc,"Slender, long-tailed bird more often heard than seen. White below and brown above, with black bill. Separated from Yellow-billed Cuckoo by bill color, uniformly brown outer wings (not rufous) and smaller white spots on underside of tail. Feeds mainly on caterpillars and other insects. Found mostly in deciduous woodlands, especially areas with thick secondary growth. Often sits motionless for long periods of time and is difficult to spot. Listen for its song, a repeated series of soft ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66038761/900,"NA,SA",Brown,Coccyzus erythropthalmus,Cuculiformes,Cuculidae,Cuckoos,Forests,Insects,Tree,Foliage Gleaner,Declining,"Uncommon and elusive, the Black-billed Cuckoo skulks around densely wooded eastern forests and thickets. Its staccato can be heard day and night, but getting a look at its slender brown body and namesake black bill may take a bit of patience. If it pops into view, notice its red eye ring and small white tips on the underside of its tail feathers. On the breeding grounds, this ardent caterpillar-eater makes quick work of tent caterpillars and webworms."
Black-billed Magpie,bkbmag1,"Conspicuous, large black-and-white relative of crows and jays. Often spotted along roadsides in open country, towns, and fields. Exceptionally lengthy tail is longer than the body. In flight, look for white wingtips. Social and inquisitive. Often gathers in groups to feed on carrion.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70580971/900,NA,Black,Pica hudsonia,Passeriformes,Corvidae,Magpies,Open Woodlands,Omnivore,Tree,Ground Forager,Low Concern,"Black-billed Magpies are familiar and entertaining birds of western North America. They sit on fenceposts and road signs or flap across rangelands, their white wing patches flashing and their very long tails trailing behind them. This large, flashy relative of jays and crows is a social creature, gathering in numbers to feed at carrion. They’re also vocal birds and keep up a regular stream of raucous or querulous calls."
Blackburnian Warbler,bkbwar,"Always a fan favorite; known for its flame-orange throat that seems to glow even through fog and rain. Triangular black cheek patch and oddly shaped white wing patch are also distinctive. Females and immatures are washed-out versions of males—look for yellowish throat and triangular dark cheek patch. Prefers coniferous or mixed forests, but can be found in any wooded habitat during migration. Winters in mountains of northern South America. Forages for insects, often near treetops.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64801421/900,"NA,SA",Orange,Setophaga fusca,Passeriformes,Parulidae,Warblers,Forests,Insects,Tree,Foliage Gleaner,Low Concern,"No birder can forget that first breeding male Blackburnian Warbler: the intricate black-and-white plumage set off by flame-orange face and throat, the impossibly high-pitched flourish at the end of the song, the cool of north-woods habitat in the morning. These forest-canopy specialists are seldom seen at eye level except during migration, when they may be found among dozens of other warbler species at sites that concentrate migrants in spring and fall. They spend winters in South America in open forests including shade-coffee plantations."
Black-capped Chickadee,bkcchi,"Tiny, plump-bodied, big-headed bird is a familiar woodland resident and backyard visitor in the northern U.S. and Canada. Gray overall with buffy flanks and a contrasting head pattern: black cap, white cheek, and black throat. Short, stubby bill is used for hammering open seeds. Often the core of mixed flocks of songbirds. Visits feeders. Nearly identical to Carolina Chickadee, but note voice and range.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60411301/900,NA,White,Poecile atricapillus,Passeriformes,Paridae,Chickadees,Forests,Insects,Cavity,Foliage Gleaner,Low Concern,"A bird almost universally considered “cute” thanks to its oversized round head, tiny body, and curiosity about everything, including humans. The chickadee’s black cap and bib; white cheeks; gray back, wings, and tail; and whitish underside with buffy sides are distinctive. Its habit of investigating people and everything else in its home territory, and quickness to discover bird feeders, make it one of the first birds most people learn."
Black-chinned Hummingbird,bkchum,"Readily comes to sugar water feeders and flower gardens; found in a variety of wooded habitats  across much of the western U.S and northern Mexico. Males have purple-and-black throat, greenish upperparts, dingy whitish belly and dark tail. Females are green above and whitish below, lacking any buffy-orange tones. Tends to pump its tail more than other hummingbirds. Similar in shape and plumage to Ruby-throated Hummingbird, but very little overlap in range (mainly Texas). Separate males by throat color; females and immatures nearly identical.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/171636111/900,NA,Black,Archilochus alexandri,Caprimulgiformes,Trochilidae,Hummingbirds,Open Woodlands,Nectar,Tree,Hovering,Low Concern,"A small green-backed hummingbird of the West, with no brilliant colors on its throat except a thin strip of iridescent purple bordering the black chin, only visible when light hits it just right. Black-chinned Hummingbirds are exceptionally widespread, found from deserts to mountain forests. Many winter along the Gulf Coast. Often perches at the very top of a bare branch. Low-pitched humming sound produced by wings."
Black-headed Grosbeak,bkhgro,"Males are black-and-orange like an oriole, but stockier with short, thick bill. Larger than a sparrow. Females and immature males have orangey wash across breast with fine dark streaking on sides. Bill is bicolored, darker above and paler below. Found in woodlands including mountain forests, thickets along desert streams, and backyards. Regularly visits feeders. Winters in Central America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67447491/900,NA,Orange,Pheucticus melanocephalus,Passeriformes,Cardinalidae,Grosbeaks,Forests,Insects,Tree,Foliage Gleaner,Low Concern,"In western North America, the sweet song of the Black-headed Grosbeak caroling down from the treetops sounds like a tipsy robin welcoming spring. The flashy black, white, and cinnamon males and the less flamboyant females sing from perches in suburbs, desert thickets, and mountain forests. At feeders they effortlessly shuck sunflower seeds with their heavy bills. The showy male puts in equal time on the domestic front: both sexes sit on the eggs, feed the young, and feistily defend their nesting territory."
Blackpoll Warbler,bkpwar,"Relatively large warbler of the boreal forest. Breeding males can be confused with Black-and-white Warbler. Note different head pattern; solid black cap and bright white cheek. Breeding females are a washed out, streakier version of male. Immatures are quite different: lemony-yellow head and breast with blurry streaking, white wingbars, and white undertail coverts. Distinctive orange feet helps distinguish Blackpoll from similar immature Bay-breasted and Pine Warblers. Found in any forested habitat during migration. Favors conifers, especially stunted spruce at higher elevations for breeding. Known for its exceptional migration over the Atlantic Ocean; can travel from East Coast of U.S. to South America in one nonstop flight!

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64804711/900,"NA,SA",Gray,Setophaga striata,Passeriformes,Parulidae,Warblers,Forests,Insects,Tree,Foliage Gleaner,Common Bird in Steep Decline,"The sharply marked Blackpoll Warbler is nature’s hearing test, with a high-pitched, almost inaudible song that floats through the boreal forests of Canada. This long-distance athlete weighs less than half an ounce yet makes the longest overwater journey of any songbird—nearly 1,800 miles nonstop over the Atlantic Ocean to its wintering grounds. In the fall, this black-and-white warbler molts into yellow-green plumage and loses its black cap. Although still numerous, it has lost an estimated 88% of its population in the last 40 years."
Black-throated Sparrow,bktspa,"Evidence that not all sparrows are dull, Black-throated Sparrow is a sharp-dressed denizen of open, shrubby desert. Gray-brown overall with distinctive black-and-white face pattern, dark tail with white corners. Streakier juvenile shows a hint of adult's face pattern, especially white eyebrow. Typically found on or near the ground in pairs or small flocks. Tinkling song with short trills and chips. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/32803411/900,NA,Brown,Amphispiza bilineata,Passeriformes,Passerellidae,Sparrows,Scrub,Insects,Shrub,Ground Forager,Low Concern,"This resident of open, shrubby deserts is one of the sharpest-looking of all sparrows. Black-throated Sparrows have neat gray faces set off by two bold white stripes and a neat black triangular patch on the throat. The face pattern jumps out when the bird is perched in the open, but at other times the soft brown back and pale underparts help it blend in with its desert home. You'll have to listen intently for little tinkling calls as these quiet birds forage on the ground for seeds and insects."
Black Phoebe,blkpho,"Small, sooty black flycatcher with clean white belly. Sits in the open on low perches to scan for insects, while pumping its tail up and down. Often near a water source whether it's a river, suburban creek, or salt-sprayed rocks and cliffs. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65681201/900,"NA,SA",Black,Sayornis nigricans,Passeriformes,Tyrannidae,Flycatchers,Open Woodlands,Insects,Cliff,Flycatching,Low Concern,"The Black Phoebe is a dapper flycatcher of the western U.S. with a sooty black body and crisp white belly. They sit in the open on low perches to scan for insects, often keeping up a running series of shrill chirps. Black Phoebes use mud to build cup-shaped nests against walls, overhangs, culverts, and bridges. Look for them near any water source from small streams, to suburbs, all the way to the salt-sprayed rocks and cliffs of the Pacific Ocean."
