name,period,date,book,desc,image
The Flood,BC,2348,Torah; Bible,"Genesis 6:1-7 tells us why God decided to destroy all creation with the flood. The Bible reads “And God saw that the wickedness of man was great in the earth and that every imagination of the thoughts of his heart was only evil continually” (Genesis 6:6 KJV). Man’s “wickedness” was not profoundly explained in the Bible. However, we can generalize that sin was rampant during those days. One of man’s wickedness described was the unholy union of sons of God and daughters of men. It is believed that the “sons of God” and the “daughters of men” are referring to the descendants of Seth and Cain respectively. We can also assume that man had forgotten to burn offerings unto the Lord since burnt offerings were done during the time of Adam and after the flood. Nevertheless, God repented creating man on the earth. However, Noah found grace in the eyes of the Lord (Genesis 6:8 KJV). God warned Noah about the destruction coming and commanded Noah to build an ark giving specific details (Genesis 6:14-16 KJV): Noah made the ark just like God described it. God then commanded Noah to gather one pair of every kind of creature and keep them alive. Also, he was to gather seven pairs of clean beasts. Genesis 7 describes how the flood took place. It was in the six-hundredth years of Noah’s life when the flood finally came. Seven days prior, God commanded Noah to get inside the ark together with his wife, sons, sons’ wives, and all the creatures God commanded Noah to gather. On the seventeenth day of the second month of the six-hundredth year of Noah’s life (2348 on the Bible Timeline Chart), the rain poured and the windows of heaven were opened (Genesis 7:11 KJV). The rain continued pouring over the earth for forty days and forty nights. And this killed all creatures, not on the ark.",15.png
Duration of the Flood,BC,2347,Torah; Bible,"The flood lasted for one hundred and fifty days (Genesis 7:24 KJV). On the seventeenth day of the seventh month of the six-hundredth year of Noah’s existence, the ark rested on the mountains of Ararat. The waters continually subsided until the tenth month (Genesis 8:4-5 KJV). On the six hundredth and first year of Noah’s existence, on the first day of the first month, the covering of the ark was removed and Noah saw that the face of the ground was dry (Genesis 8:13 KJV). On the twenty-seventh day of the second month of that same year, God spoke to Noah and commanded him, his wife, his sons, his sons’ wives and all other creatures to be fruitful so that the earth would be filled again (Genesis 8:14-19 KJV). Noah then built an altar unto the Lord and took all the clean beasts and fowls and gave burnt offerings unto the Lord. God smelled the sweet savour and said in His heart that never again would he curse the earth for man’s sake. In Genesis 9:8-11 God said to Noah and his sons, “And I, behold, I establish my covenant with you, and with your seed after you, and every living creature that is with you… neither shall all flesh be cut off any more by the waters of a flood; neither shall there any more be a flood to destroy the earth.” As a token of that covenant, a rainbow would be present after it rains to remind God of his everlasting covenant (Genesis 9:12-17 KJV).",16.png
Arphaxad,BC,2346,Torah; Bible,"Arphaxad is one of the sons of Shem and grandson of Noah (Genesis 10:22 KJV). He was born when Shem was a hundred years old or two years after the flood (Genesis 11:10 KJV). Given this case, we can assume that Shem was born 2 years after Noah reached five hundred years old which was 2446. Provided this information, Arphaxad’s birth on the Biblical Timeline is 2346. It is said that Arphaxad dwelt in Mesopotamia and is the forefather of Chaldeans.",17.png
Selah,BC,2311,Torah; Bible,"Salah or Sala (Luke 3:35 KJV) is the only son of Arphaxad mentioned in the Bible (Genesis 11:13 KJV). Salah may mean send out, branch or javelin. He was born when Arphaxad was thirty five years old (Genesis 11:12 KJV). Salah begat Eber when he was thirty years old and begat other sons and daughters. He lived four hundred and three years after he begat Eber (Genesis 11:14-15 KJV).",18.png
Elam and Asshur,BC,2300,Torah; Bible,"Biblical Character. Second son of Shem, son of Noah (Genesis 10:22; 1 Chronicles 1:17). Assyria was named after him although the name Asshur is sometimes used to refer to the place where his descendants dwell (Numbers 24:22, 24; Ezekiel 27:23).  He is on the Timeline of the Bible after the Flood (after 2300). Elam is recorded in history at the time of Sagron of Akkad around 2300 where it is listed on the Bible Timeline. Not long after the Elamites pillaged Ur and founded an Elamite kingdom inside Shnunna.",19.png
Assyria,BC,1700,Torah; Bible,"Biblical Name for Assyria.  Asshur, a city characterized by the mounds of Kalah Sherghat, on the west bank of the Tigris (Genesis 2:14) was the primary capital of Assyria. About 1700, Bel-kap-kapu founded this city. Afterward, the capital was changed to Ninua, or Nineveh, now Koyunjik, on the eastern bank of the river. King of the Assyrian Gods. Asshur was the father of Assyrians. He gave power and life to every priestly king. A winged circle or globe with the human figure of a warrior god armed with a bow in its center was used to symbolize him as “the great god, king of all gods.”  Also, Asshur was used as part of a compound name for various Assyrian kings. Elam (which means forever in Hebrew) is the one of the sons of Shem, who was the son of Noah. His siblings are Arphaxad, Asshur, Lud, and Aram.",20.png
Sons of Ham,BC,2301,Torah; Bible,"The word Cush means black. Biblically, Cush is the son of Ham and father of Nimrod. He is considered the ancestor of the dark-skinned people that occupied Ethiopia. His name is often associated with Ethiopia, but there are some who are still skeptical about it.  Cush first appears on the Biblical Timeline after the Flood. Place. In the Old Testament, Cush usually refers to the countries in the south where the children of Cush, Ham’s son lived. Many assumed that Cush consisted of Arabia and the country of the west coast of the Red Sea since it was linked with the southern limit of Egypt. It’s associated with Elam, Persia and the Sabeans. However, there are some indications that Cush also existed in Africa or Ethiopia. Ethiopia, situated at the Horn of Africa is a landlocked country bordered by Sudan on the west, Somalia and Djibouti on the east, Kenya on the south, and Eritrea on the north. Today, Ethiopia is known as Nubia and Abyssinia. But until now, questions regarding the border between Ethiopia and Eritrea and even the exact location of the boundary along Sudan have not been settled.",21.png
Nations of Ham,BC,2302,Torah; Bible,"Gibeonites are the people of Gibeon who descended from Hivites and Amorites. Hivites are the descendants from one of Ham’s sons, Canaan and one of those that occupied the Promised Land before the arrival of Israelites.  They are found on the Bible Timeline around 2300 BC. God ordered the Israelites to avoid making any covenants with the Gibeonites and to expel them from the land. But after putting on worn out clothing, the Gibeonites were able to make the Israelites, headed by Joshua, believe that they were people from a far away place. They were able to persuade the Israelites to make a covenant and allowed the Gibeonites to live with them. The Jebusites are believed to be the descendants of Jebus, a descendant of Canaan, Ham’sson. They were thought to be a warlike people and were mentioned in the Hebrew Bible as a nation living in the mountains.  The Amazing Bible Timeline with World History places them with the other nations of Ham beginning about 2300 BC. They are one of the tribes mentioned in the Bible that God promised to expel from the Promised Land. One of the seven nations that God commanded the Israelites to destroy completely.",22.png
Egypt in 2300,BC,2303,Torah; Bible,"Ancient Egypt was a nation located east of North Africa along the coastline of the Nile River. It was composed of two kingdoms; Upper Egypt and Lower Egypt. The nations were headed by their pharaohs whose regencies depended on the godly rights of the kings. The concept of “afterlife” and gods could have started from the early Egyptians, a corruption of the religious teachings known by Ham, Noah’s son.  Egyptian paganism grew popular in the ancient world until it was overpowered by Christianity and then Islam. The division of the two kingdoms was based on the flow of the Nile River’s track. Upper Egypt was the kingdom in the south that stretches from the Libyan Desert to Abu Simbel along the shorelines of the river’s upstream. On the other hand, the kingdom of Lower Egypt was located in the north where the river’s delta flows downstream to the Mediterranean Sea.",23.png
Gomer,BC,2304,Torah; Bible,"Gomer, the eldest among Japheth’s seven sons, was referred to as “standing for the whole family” by the Jewish Encyclopedia. And the warlike supporter from the north of Chief Gog ofMagog on his quest to destroy Israel by the Bible.  The name means complete or finish.  He appears on the Timeline of the Bible after the Flood around 2300 BC.Gomer is said to be the father of ancient Cimmerians. Kimmerians or Cimmerians were warlike tribes of Aryans that fought against the nations in the northwest Asia during 670 to 570 BC. They left their home found at the north of the Black Sea, the present day Ukraine of southern Russia, in the 7th century BC when they were expelled by the Scythians. They then transferred to the Caucasus and Armenia and Asia Minor of Western Asia putting great pressure on the Assyrians and other countries. They battled with Lydia and put the temple of Diana of Ephesus on fire. A portion of them went eastward to Media while some went westward and invaded Cappadocia then dwelt in it. Gamir, the Armenian term for Cappadocia has its roots in these people. They were forced out of these areas afterwards.They then recurred during the Roman times as the Cimbri of Cimbrie Chersonese, the country we now know as Denmark. Afterwards, they traveled across the British Isles and became the forefathers of the present day Gael of Ireland and Scotland and the Cymry of Wales. Accordingly, the whole Celtic tribe that includes the Galatians are thought to have descended from Gomer.",24.png
Magog,BC,2305,Torah; Bible,"Magog, which means covering, roof or dissolving, is listed as the second of the seven sons of Japheth by the Bible. His people dwelt in the north. All of its combatants were horsemen equipped with the bow as their weapon. He was the direct ancestor of the Magogites. Their name was identified with terror and brutality in the East.",25.png
Madai,BC,2306,Torah; Bible,"Madai which means measure, judging, or middle land, was a descendant of Noah through Japheth. He is listed as the third son of Japheth in the Bible. He is located on the Biblical Timeline after the Great Flood. According to the Book of Jubilees, he married the daughter of Shem and pleaded with the three brothers of his wife to let him live on their land instead of occupying an area in Japheth’s land. They gave him a spot to dwell on with his family and it was later on named Media.",26.png
Javan,BC,2307,Torah; Bible,"Javan, from the Hebrew word which means deceiver or one who makes sad, descended from Noah through Japheth. He is listed as the fourth son of Japheth.  He is found on the Bible Timeline after the great flood. He had four sons, namely; Elishah associated with the Aegean nations, Tarshish with the Tarsus in Anatolia, Kittim with the Kition in modern Cyprus, and Dodanim with the island of Rhodes. Javan was said to be the forefather of the Greeks, most particularly of the Ionians, one of the first Greek nations. The Ionians dwelt in the land of Iona. Javan was the term used in the Bible referring to Greece. Using the name Javan, the oracle of the life of the great Macedonian king, Alexander the Great, can be found written in the Bible.",27.png
Tubal,BC,2308,Torah; Bible,"In the Bible Tubal was the grandson of Noah through Japheth. Tubal means the earth, the world, confusion.  The Catalan legend states that he had three sons, namely; Tarraho, Iber, and Semptofail. His second son, Iber succeeded to his throne when he died after leading his nations for about 155 years.",28.png
Meshech,BC,2309,Torah; Bible,"Meshech (meaning long, tall or drawn out by force) is the sixth son of Japheth listed in the Bible. He is usually closely associated with Tubalespecially in the prophecy of Ezekiel in the Bible. He is found on the Timeline of the Bible after the Great Flood. He is said to be the ancestor of several nations like the Mosocheni, Illyrians, Georgians, Caucasians, Armenians.The two most prominent are the Mushki of Assyria and Moschoi of Greece.",29.png
Tiras,BC,2310,Torah; Bible,"Tiras is the seventh and youngest son of Japheth in the Bible. His name is from the Hebrew word for desire.  He is placed on the Timeline of the Bible after the Flood, around 2300 BC. The Book of Jubilees stated that he inherited four huge lands along the ocean. He was said to be the ancestor of the American Indians and his people were termed the “sea people” by the Greeks.  There are various stories concerning his children in different nations.  One interesting account was the one written by a Persian historian that says that aside from his son Batawil, Tiras had three daughters named Qarnabil, Bakht, and Arsal the future wives of Cush, Phut, and Canaan. His people worshiped him as the god of thunder named Thor.",30.png
Eber,BC,2283,Torah; Bible,"Eber or Heber (Luke 3:35 KJV) is one of the sons of Salah (Genesis 11:14-15). He was born when Salah was thirty years old. The name Eber in Hebrew means “to cross over” or “beyond”. At the age of thirty-four, Eber begat Peleg, brother of Joktan. Eber lived another four hundred and thirty years and begat other sons and daughters before he finally rested (Genesis 11:16-17 KJV). He lived a total of four hundred and sixty-four years. From the Biblical Timeline, Eber existed from 2283 BC to 1819 BC.",31.png
Peleg,BC,2247,Torah; Bible,"Peleg or Phalec (Luke 3:35 KJV) is one of the sons of Eber. At the age of thirty-four, Eber begat Peleg, brother of Joktan.",32.png
Reu,BC,2217,Torah; Bible,"Reu or Ragau (Luke 3:35 KJV) is one of the sons of Peleg. He was born when Peleg was thirty years old (Genesis 11:18 KJV). The name Reu came from Hebrew origin and means friend.",33.png
Babylon,BC,2200,Torah; Bible,"Babylon was established by Nimrod, who was a mighty hunter and ruler on the Earth. He was the son of Cush, and his grandfather was Noah’sson Ham. Noah was Nimrod’s great grandfather. Hebrew sources claim that Nimrod was a hunter of souls where he gathered men onto the plains of Shinar. Ancient scribes have also endorsed the idea that Nimrod was the world’s first conqueror. He supposedly had vast armies at his disposal, and when he began to enslave men for his kingdom, he decided to have them build a tower to the heavens. The Bible states that the people of the world all spoke one language during the time of Nimrod. Many of these people began to gather into Shinar on their own even though Nimrod still continued to gather souls and slaves for the kingdom.",34.png
Pharaoh’s Death Israel Enslaved,BC,1530,Torah; Bible,"The last chapter of Genesis recounts the death of Joseph in the land of Egypt at the age of 110. This can be found on the Bible Timeline Poster around 1530 BC. He had lived a long and successful life as a vizier of Egypt appointed by Pharaoh. The Hebrew people also thrived and multiplied in the land, they settled in (Exodus 1:7.)",35.png
Moses,BC,1504,Torah; Bible,"Known as the great prince of Egypt who eventually became a prophet, Moses has made a significant part in the Hebrew Bible. Pharaoh’s daughter named him Moses (Hebrew Mosheh), as she drew him out (Hebrew meshitihu) of the water.",36.png
Joshua,BC,1400,Torah; Bible,"Hoshea or more popularly known by the name given to him by Moses, Joshua, was the son of Nun, who belonged to the lineage of Ephraim, a descendant of Abraham. He was born in Egypt. Joshua and Caleb were the only two of the twelve spies sent to investigate the Canaan that were allowed to enter the Promised Land. Because of their honest reports and willingness to follow God’s commands to take the land.",37.png
David and the Goliath,BC,1063,Torah; Bible,"Among the most popular characters of the Bible history are David and Goliath. The Bible features the story of David, a shepherd boy, who defeated the powerful Philistine warrior named Goliath. David grew up to be the mighty king of Israel, as well as Jesus Christ‘s human ancestor. David defeats Goliath appears on the Bible Timeline Poster 1063 BC",38.png
David Becomes King,BC,1055,Torah; Bible,"King David is probably one of Israel’s greatest heroes and ruler. According to the Bible, David was a man after God’s own heart and God greatly loved him. As a matter of fact, David’s name means beloved by God, perfect, kind and grateful.His life was full of adventure, suspense, pain, suffering, joy, gratitude and victory. In his youth, David might not have fully understood the fact that one day God was going to make him king of Israel and that he would permanently establish his throne forever (2 Samuel 7:16). David becomes King of Israel appears as an event on the Biblical Timeline Poster 1055 BC. David’s story begins with the prophet Samuel. This particular prophet was Israel‘s last judge and ruler before the people decided that they wanted a king. God was reluctant to allow them to have a king, but he gave the people what they requested.",39.png
King Solomon,BC,1015,Torah; Bible,"King Solomon was the son of King David and God considered him to be the wisest man on Earth. Solomon lived a full and spectacular life like his father before him. He was not only the most knowledgeable man to have ever existed he was also extremely rich, very renown and one of Israel’s greatest rulers. He appears on the Biblical Timeline as king beginning in 1015 BC.",40.png
Smote by Angel,BC,700,Torah; Bible,"Hezekiah’s reign (726-697 BC) overlapped the reigns of Assyrian kings Shalmaneser V, Sargon II, and Sennacherib. He also served as coregent with his father king Ahaz who placed Judah under the rule of Assyria during his reign. In 722 BC, Shalmaneser besieged Samaria and three years later the city fell to his brother Sargon II. He had the citizens of Samaria deported to other Assyrian territories (2 Kings 18:10-11). Judah, meanwhile, experienced religious and political reformation during Hezekiah’s reign. In 713-711 BC, Hezekiah joined in planning a rebellion along with the rulers of Ashdod, Edom, and Moab against Sargon. This rebellion may have been stirred up by king Merodach-Baladan of Babylon who was removed from his throne years ago by Sargon. The allied kings decided not to pay tribute to Assyria, but Hezekiah later withdrew from the plan and Azuri, the ruler of Ashdod, was removed from his throne (Isaiah 20).",41.png
The First Carrying Away,BC,701,Torah; Bible,"God had chosen the people of Israel to be his personal representatives on the Earth. The Lord was going to use these people to reveal his truth to the world and why it is important for all of mankind to follow him. God expected his chosen people to obey his commandments and to live as a holy people set apart for his service. Unfortunately, the Israelites didn’t always live in obedience to God. By the time the Israelites had kings the people were worshipping foreign gods and conducting pagan practices. God had sent many prophets and deliverers to turn the people back from their sins but they didn’t listen. So he decided to use foreign nations to punish his people. The Lord gave some of the ancient enemies of Israel the power to defeat and to enslave them.",42.png
Daniel,BC,600,Torah; Bible,"Daniel is considered a major prophet by Biblical scholars and the reason why he is of such importance is because there is a great deal of information about him in God‘s word. When he was a little boy he was taken captive with three of his friends back to Babylon. These three youths would be known as Shadrach, Meshach, and Abednego. Daniel and his companions came from noble families and they were chosen by some Babylonians to serve in the court of king Nebuchadnezzar.",43.png
Birth of Jesus Christ,BC,4,Torah; Bible,"The Old Testament books of the Bible contain many prophecies that speak of the coming Messiah or savior of the world. Originally the Old Testament books were written for the Hebrew or Jewish people. They claimed that a Messiah would be born who would ultimately come into the world and save the Jewish people from their enemies while establishing a new era of greatness for the Jewish people. The Virgin Birth, An angel appears to a virgin woman named Mary who was engaged to married to a man named Joseph. The angel tells Mary that she was going to have a son that was to be born from the Holy Spirit. Her son would be the chosen Messiah of the world. Mary has a hard time accepting this message and she eventually finds out that cousin Elizabeth has a son named John who was also born under supernatural circumstances. After her visit with Elizabeth, she is convinced about what the angel is saying and returns home. Joseph was going to cancel his engagement to her, but an angel appeared to him and told him to follow through the wedding. Joseph listened to the angel and Christ became his legal son.",44.png
Beginning of New Testament,AD,1,Bible,"The New Testament begins with the birth of Jesus Christ. The New Testament is the second part of the Christian Bible. It is the record of the life and teachings of Jesus Christ and the early Christian church. The New Testament is divided into two parts: the Gospels and the Epistles. The Gospels are the four books that tell the story of Jesus’ life and ministry. The Epistles are the letters written by the apostles to the early Christian churches. The New Testament begins with the birth of Jesus Christ. The New Testament is the second part of the Christian Bible. It is the record of the life and teachings of Jesus Christ and the early Christian church. The New Testament is divided into two parts: the Gospels and the Epistles. The Gospels are the four books that tell the story of Jesus’ life and ministry. The Epistles are the letters written by the apostles to the early Christian churches.",46.png
The Crucifixion of Christ,AD,30,Bible,"As Jesus traveled and preached, he angered the Roman rulers, who feared that he was provoking unrest among the people and planning a revolution. He was also feared by Jewish leaders because he challenged traditional authority and teachings. Jesus named hypocrisy where he saw it and urged his community to claim a new prophetic vision. Those who opposed him saw him as a dangerous upstart who wanted to form a cult around himself. Jesus was well aware of these charges against him by political and religious authorities, and he predicted that he would be attacked and persecuted. After a teaching ministry of perhaps three years, Jesus went to Jerusalem to observe the Jewish holiday of Passover. There he warned those closest to him of his coming death and gathered them together for a meal that would be their last supper together. He was then betrayed to the Roman authorities by Judas, one of his followers, and was captured. He was denounced by the Jewish high priest as a blasphemer who claimed to be the Messiah. Taken before the Roman authorities, Jesus was charged with sedition and executed by the Roman practice of crucifixion, being nailed to a cross. It was Friday and burial rites would have to wait until the Sabbath was over. Early Sunday morning, according to all Gospel accounts, some of the women who had followed Jesus went to his tomb to prepare his body for a proper burial. When they arrived, they discovered that the stone at the entry to the tomb had been rolled away and the tomb was empty. According to the synoptic Gospels, a figure in dazzling white appeared and told the women that Jesus had been raised from the dead. In John’s account, a man who seemed to be the gardener appeared to Mary Magdalene and spoke to her by name; it was Jesus. Although their accounts differ, the Gospels report that in the following days, many of the disciples saw Jesus and experienced his presence. This experience of the living Christ is at the heart of the Christian faith.",47.png
Apostles slain by John,AD,63,Torah; Bible,"Simon Called Peter by Christ died 33-34 years after the death of Christ. James the son of Zebedee:  He was put to death by Herod Agrippa I  shortly before the day of the Passover, in the year 44 or about 11 years after the death of Christ.  From Acts 12: 1-2.",48.png
Creation of the New Testament,AD,70,Bible,"The New Testament is the second part of the Christian Bible. It is the record of the life and teachings of Jesus Christ and the early Christian church. The New Testament is divided into two parts: the Gospels and the Epistles. The Gospels are the four books that tell the story of Jesus’ life and ministry. The Epistles are the letters written by the apostles to the early Christian churches.",32.png
The Destruction of Jerusalem,AD,71,Bible,"The destruction of Jerusalem was the most significant event in the history of the Jewish people. It was the culmination of a series of events that began with the death of Jesus Christ and the establishment of the Christian church. The destruction of Jerusalem was the most significant event in the history of the Jewish people. It was the culmination of a series of events that began with the death of Jesus Christ and the establishment of the Christian church.",33.png
The Recreation of Jerusalem and the Temple,AD,76,Bible,"The destruction of Jerusalem was the most significant event in the history of the Jewish people. It was the culmination of a series of events that began with the death of Jesus Christ and the establishment of the Christian church. The destruction of Jerusalem was the most significant event in the history of the Jewish people. It was the culmination of a series of events that began with the death of Jesus Christ and the establishment of the Christian church.",34.png
The Last Supper,AD,33,Bible,"The Last Supper is the final meal that Jesus Christ shared with his disciples before his crucifixion. Jesus, in an act of humility, washed the feet of his disciples (John 13:1-20). While they were eating the Last Supper Jesus announced that one of them would betray him.",52.png
The Arrest of Jesus,AD,29,Bible,"The traitor Judas arrived with religious leaders and soldiers. Although a large crowd came to arrest Jesus he offered no resistance. Instead he asked them why they came after him like some kind of criminal. Jesus was arrested and taken away.",53.png
Justin Martyr dedicates his First Apology,AD,150,Bible,"The First Apology was an early work of Christian apologetics addressed by Justin Martyr to the Roman Emperor Antoninus Pius.",54.png
